URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-design,0.1.0,draft,,StudyDesign,Study Design,"This is a set of terms for study design characteristics.",,"Other"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type,0.1.0,draft,,StudyNameTypeVS,Study Name Type,"Some common types of study 'names'.",,"Other"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-personnel-role,0.1.0,draft,,StudyPersonnelRoleVS,Study Personnel Role,"Roles associated with study personnel.",,"Other"
